,Ped South,Ped North,Bike South,Bike North,Total
2014-01-01,23.01612903225808,34.919354838709666,-162.48387096774195,100.90322580645159,-3.6451612903225623
2014-01-02,-49.98387096774192,-90.08064516129033,94.51612903225805,-113.09677419354841,-158.64516129032256
2014-01-03,-15.983870967741922,-8.080645161290334,10.51612903225805,5.903225806451587,-7.645161290322562
2014-01-04,57.01612903225808,52.919354838709666,187.51612903225805,158.9032258064516,456.35483870967744
2014-01-05,24.01612903225808,32.919354838709666,30.51612903225805,22.903225806451587,110.35483870967744
2014-01-06,-46.98387096774192,-40.080645161290334,-64.48387096774195,-81.09677419354841,-232.64516129032256
2014-01-07,-80.98387096774192,-83.08064516129033,-123.48387096774195,-134.0967741935484,-421.64516129032256
2014-01-08,-66.98387096774192,-59.080645161290334,-108.48387096774195,-113.09677419354841,-347.64516129032256
2014-01-09,-66.98387096774192,-49.080645161290334,-90.48387096774195,-103.09677419354841,-309.64516129032256
2014-01-10,-9.983870967741922,-9.080645161290334,-140.48387096774195,-127.09677419354841,-286.64516129032256
2014-01-11,-45.98387096774192,-38.080645161290334,-211.48387096774195,-219.0967741935484,-514.6451612903226
2014-01-12,14.016129032258078,14.919354838709666,-115.48387096774195,-106.09677419354841,-192.64516129032256
2014-01-13,-33.98387096774192,-32.080645161290334,-14.48387096774195,-48.09677419354841,-128.64516129032256
2014-01-14,135.01612903225808,134.91935483870967,8.51612903225805,27.903225806451587,306.35483870967744
2014-01-15,-15.983870967741922,-22.080645161290334,72.51612903225805,76.90322580645159,111.35483870967744
2014-01-16,-33.98387096774192,-41.080645161290334,-4.48387096774195,-10.096774193548413,-89.64516129032256
2014-01-17,-43.98387096774192,-32.080645161290334,-43.48387096774195,-69.09677419354841,-188.64516129032256
2014-01-18,63.01612903225808,63.919354838709666,153.51612903225805,136.9032258064516,417.35483870967744
2014-01-19,23.01612903225808,27.919354838709666,-48.48387096774195,-66.09677419354841,-63.64516129032256
2014-01-20,30.01612903225808,23.919354838709666,87.51612903225805,79.90322580645159,221.35483870967744
2014-01-21,-47.98387096774192,-35.080645161290334,-12.48387096774195,1.9032258064515872,-93.64516129032256
2014-01-22,-27.98387096774192,-32.080645161290334,-18.48387096774195,-5.096774193548413,-83.64516129032256
2014-01-23,-11.983870967741922,-18.080645161290334,1.5161290322580498,-2.0967741935484128,-30.645161290322562
2014-01-24,-29.98387096774192,-10.080645161290334,52.51612903225805,14.903225806451587,27.354838709677438
2014-01-25,42.01612903225808,57.919354838709666,277.51612903225805,275.9032258064516,653.3548387096774
2014-01-26,93.01612903225808,75.91935483870967,279.51612903225805,266.9032258064516,715.3548387096774
2014-01-27,-53.98387096774192,-59.080645161290334,-27.48387096774195,-46.09677419354841,-186.64516129032256
2014-01-28,-43.98387096774192,-45.080645161290334,-52.48387096774195,-49.09677419354841,-190.64516129032256
2014-01-29,-78.98387096774192,-78.08064516129033,-126.48387096774195,-126.09677419354841,-409.64516129032256
2014-01-30,-55.98387096774192,-49.080645161290334,-70.48387096774195,-78.09677419354841,-253.64516129032256
2014-01-31,-48.98387096774192,-47.080645161290334,-80.48387096774195,-78.09677419354841,-254.64516129032256
2014-02-01,61.07449440619621,70.2989995697074,76.71135434595527,84.05967620481931,292.1445245266781
2014-02-02,102.07449440619621,68.2989995697074,40.71135434595527,28.05967620481931,239.14452452667808
2014-02-03,-48.92550559380379,-36.701000430292595,-48.28864565404473,-81.94032379518069,-215.85547547332192
2014-02-04,-48.92550559380379,-41.701000430292595,-81.28864565404473,-69.94032379518069,-241.85547547332192
2014-02-05,-55.92550559380379,-65.7010004302926,-154.28864565404473,-161.9403237951807,-437.8554754733219
2014-02-06,-84.92550559380379,-68.7010004302926,-184.28864565404473,-173.9403237951807,-511.8554754733219
2014-02-07,-65.92550559380379,-67.7010004302926,-170.28864565404473,-180.9403237951807,-484.8554754733219
2014-02-08,42.07449440619621,46.298999569707405,-47.28864565404473,-54.94032379518069,-13.855475473321917
2014-02-09,-39.92550559380379,-27.701000430292595,-290.2886456540447,-294.9403237951807,-652.8554754733219
2014-02-10,-81.92550559380379,-63.701000430292595,-178.28864565404473,-190.9403237951807,-514.8554754733219
2014-02-11,-25.92550559380379,-41.701000430292595,-87.28864565404473,-83.94032379518069,-238.85547547332192
2014-02-12,-21.92550559380379,-26.701000430292595,-58.28864565404473,-54.94032379518069,-161.85547547332192
2014-02-13,5.074494406196209,2.298999569707405,22.71135434595527,18.05967620481931,48.14452452667808
2014-02-14,-61.92550559380379,-46.701000430292595,-119.28864565404473,-131.9403237951807,-359.8554754733219
2014-02-15,10.074494406196209,31.298999569707405,-73.28864565404473,-94.94032379518069,-126.85547547332192
2014-02-16,-13.925505593803791,-12.701000430292595,-130.28864565404473,-147.9403237951807,-304.8554754733219
2014-02-17,-10.925505593803791,-8.701000430292595,-151.28864565404473,-148.9403237951807,-319.8554754733219
2014-02-18,-82.92550559380379,-85.7010004302926,-153.28864565404473,-154.9403237951807,-476.8554754733219
2014-02-19,-6.925505593803791,-4.701000430292595,-51.28864565404473,-65.94032379518069,-128.85547547332192
2014-02-20,-35.92550559380379,-24.701000430292595,-60.28864565404473,-62.94032379518069,-183.85547547332192
2014-02-21,-70.92550559380379,-59.701000430292595,-75.28864565404473,-91.94032379518069,-297.8554754733219
2014-02-22,-6.925505593803791,2.298999569707405,-147.28864565404473,-151.9403237951807,-303.8554754733219
2014-02-23,9.074494406196209,-5.701000430292595,-140.28864565404473,-142.9403237951807,-279.8554754733219
2014-02-24,-70.92550559380379,-69.7010004302926,-199.28864565404473,-196.9403237951807,-536.8554754733219
2014-02-25,-6.925505593803791,8.298999569707405,43.71135434595527,52.05967620481931,97.14452452667808
2014-02-26,1.0744944061962087,-15.701000430292595,126.71135434595527,119.05967620481931,231.14452452667808
2014-02-27,-37.92550559380379,-18.701000430292595,15.711354345955272,25.05967620481931,-15.855475473321917
2014-02-28,28.07449440619621,22.298999569707405,125.71135434595527,137.0596762048193,313.1445245266781
2014-03-01,-8.984599689078891,-6.581130975514981,-151.58591624562763,-97.27817722502914,-264.4298241352508
2014-03-02,-64.98459968907889,-56.58113097551498,-313.58591624562763,-329.27817722502914,-764.4298241352508
2014-03-03,-52.98459968907889,-53.58113097551498,-214.58591624562763,-215.27817722502914,-536.4298241352508
2014-03-04,-98.98459968907889,-95.58113097551498,-234.58591624562763,-235.27817722502914,-664.4298241352508
2014-03-05,-57.98459968907889,-44.58113097551498,-212.58591624562763,-204.27817722502914,-519.4298241352508
2014-03-06,-57.98459968907889,-58.58113097551498,-240.58591624562763,-232.27817722502914,-589.4298241352508
2014-03-07,99.01540031092111,63.41886902448502,-32.58591624562763,-51.27817722502914,78.57017586474922
2014-03-08,27.01540031092111,61.41886902448502,-172.58591624562763,-155.27817722502914,-239.42982413525078
2014-03-09,38.01540031092111,27.41886902448502,5.4140837543723705,-4.27817722502914,66.57017586474922
2014-03-10,-25.98459968907889,-21.58113097551498,-206.58591624562763,-205.27817722502914,-459.4298241352508
2014-03-11,19.01540031092111,12.41886902448502,132.41408375437237,123.72182277497086,287.5701758647492
2014-03-12,35.01540031092111,24.41886902448502,200.41408375437237,201.72182277497086,461.5701758647492
2014-03-13,-19.98459968907889,-22.58113097551498,48.41408375437237,11.72182277497086,17.570175864749217
2014-03-14,54.01540031092111,78.41886902448502,-119.58591624562763,-113.27817722502914,-100.42982413525078
2014-03-15,11.015400310921109,21.41886902448502,28.41408375437237,56.72182277497086,117.57017586474922
2014-03-16,-61.98459968907889,-65.58113097551498,-336.58591624562763,-346.27817722502914,-810.4298241352508
2014-03-17,32.01540031092111,34.41886902448502,-9.58591624562763,-30.27817722502914,26.570175864749217
2014-03-18,-62.98459968907889,-58.58113097551498,-102.58591624562763,-92.27817722502914,-316.4298241352508
2014-03-19,-27.98459968907889,-19.58113097551498,-205.58591624562763,-211.27817722502914,-464.4298241352508
2014-03-20,-22.98459968907889,-11.58113097551498,-76.58591624562763,-103.27817722502914,-214.42982413525078
2014-03-21,21.01540031092111,12.41886902448502,47.41408375437237,30.72182277497086,111.57017586474922
2014-03-22,51.01540031092111,50.41886902448502,349.41408375437237,369.72182277497086,820.5701758647492
2014-03-23,61.01540031092111,49.41886902448502,523.4140837543723,537.7218227749709,1171.5701758647492
2014-03-24,17.01540031092111,-4.581130975514981,267.41408375437237,288.72182277497086,568.5701758647492
2014-03-25,-103.98459968907889,-93.58113097551498,-228.58591624562763,-226.27817722502914,-652.4298241352508
2014-03-26,-46.98459968907889,-44.58113097551498,-151.58591624562763,-178.27817722502914,-421.4298241352508
2014-03-27,-45.98459968907889,-31.58113097551498,-88.58591624562763,-113.27817722502914,-279.4298241352508
2014-03-28,-94.98459968907889,-70.58113097551498,-297.58591624562763,-298.27817722502914,-761.4298241352508
2014-03-29,-10.984599689078891,16.41886902448502,-188.58591624562763,-250.27817722502914,-433.4298241352508
2014-03-30,112.01540031092111,103.41886902448502,224.41408375437237,178.72182277497086,618.5701758647492
2014-03-31,21.01540031092111,21.41886902448502,160.41408375437237,176.72182277497086,379.5701758647492
2014-04-01,27.48333333333332,15.466666666666669,-1.3999999999999773,-9.81666666666672,31.73333333333335
2014-04-02,-16.51666666666668,-4.533333333333331,-78.39999999999998,-70.81666666666672,-170.26666666666665
2014-04-03,-81.51666666666668,-84.53333333333333,-305.4,-346.8166666666667,-818.2666666666667
2014-04-04,-28.51666666666668,-7.533333333333331,-160.39999999999998,-197.81666666666672,-394.26666666666665
2014-04-05,287.48333333333335,316.4666666666667,-259.4,-230.81666666666672,113.73333333333335
2014-04-06,38.48333333333332,37.46666666666667,97.60000000000002,65.18333333333328,238.73333333333335
2014-04-07,27.48333333333332,20.46666666666667,315.6,321.1833333333333,684.7333333333333
2014-04-08,-46.51666666666668,-8.533333333333331,-226.39999999999998,-290.8166666666667,-572.2666666666667
2014-04-09,-29.51666666666668,-21.53333333333333,-14.399999999999977,-46.81666666666672,-112.26666666666665
