,Ped South,Ped North,Bike South,Bike North,Total
2014-04-12,136.48333333333332,136.46666666666667,472.6,471.1833333333333,1216.7333333333333
2014-04-13,101.48333333333332,65.46666666666667,851.6,921.1833333333333,1939.7333333333333
2014-04-14,-7.51666666666668,-38.53333333333333,105.60000000000002,144.18333333333328,203.73333333333335
2014-04-15,-48.51666666666668,-32.53333333333333,-163.39999999999998,-170.81666666666672,-415.26666666666665
2014-04-16,-114.51666666666668,-108.53333333333333,-347.4,-369.8166666666667,-940.2666666666667
2014-04-17,-117.51666666666668,-111.53333333333333,-435.4,-452.8166666666667,-1117.2666666666667
2014-04-18,-61.51666666666668,-38.53333333333333,-17.399999999999977,-6.81666666666672,-124.26666666666665
2014-04-19,22.48333333333332,7.466666666666669,-155.39999999999998,-134.81666666666672,-260.26666666666665
2014-04-20,44.48333333333332,47.46666666666667,221.60000000000002,263.1833333333333,576.7333333333333
2014-04-21,-39.51666666666668,-33.53333333333333,-50.39999999999998,-87.81666666666672,-211.26666666666665
2014-04-22,-58.51666666666668,-54.53333333333333,-268.4,-281.8166666666667,-663.2666666666667
2014-04-23,-71.51666666666668,-60.53333333333333,-255.39999999999998,-293.8166666666667,-681.2666666666667
2014-04-24,-79.51666666666668,-69.53333333333333,-291.4,-300.8166666666667,-741.2666666666667
2014-04-25,-9.51666666666668,-12.533333333333331,-22.399999999999977,9.18333333333328,-35.26666666666665
2014-04-26,73.48333333333332,74.46666666666667,267.6,400.1833333333333,815.7333333333333
2014-04-27,52.48333333333332,56.46666666666667,-44.39999999999998,55.18333333333328,119.73333333333335
2014-04-28,-9.51666666666668,-17.53333333333333,33.60000000000002,57.18333333333328,63.73333333333335
2014-04-29,37.48333333333332,28.46666666666667,345.6,399.1833333333333,810.7333333333333
2014-04-30,61.48333333333332,43.46666666666667,387.6,397.1833333333333,889.7333333333333
2014-05-01,-31.79032258064518,22.0,139.5645161290323,413.01612903225805,542.7903225806454
2014-05-02,-88.79032258064518,-28.0,-187.4354838709677,33.01612903225805,-271.20967741935465
2014-05-03,86.20967741935482,131.0,-452.4354838709677,-266.98387096774195,-502.20967741935465
2014-05-04,-84.79032258064518,-20.0,-808.4354838709677,-602.983870967742,-1516.2096774193546
2014-05-05,-60.79032258064518,-4.0,-570.4354838709677,-368.98387096774195,-1004.2096774193546
2014-05-06,-54.79032258064518,5.0,-297.4354838709677,-43.98387096774195,-391.20967741935465
2014-05-07,-39.79032258064518,19.0,-3.435483870967687,222.01612903225805,197.79032258064535
2014-05-08,-133.79032258064518,-79.0,-594.4354838709677,-418.98387096774195,-1226.2096774193546
2014-05-09,-113.79032258064518,-46.0,-603.4354838709677,-411.98387096774195,-1175.2096774193546
2014-05-10,-26.79032258064518,37.0,-308.4354838709677,52.01612903225805,-246.20967741935465
2014-05-11,29.20967741935482,52.0,293.5645161290323,559.016129032258,933.7903225806454
2014-05-12,-8.790322580645181,59.0,-12.435483870967687,219.01612903225805,256.79032258064535
2014-05-13,-16.79032258064518,56.0,127.56451612903231,355.01612903225805,521.7903225806454
2014-05-14,-26.79032258064518,9.0,40.56451612903231,303.01612903225805,325.79032258064535
2014-05-15,-34.79032258064518,44.0,-22.435483870967687,145.01612903225805,131.79032258064535
2014-05-16,-59.79032258064518,-6.0,-78.43548387096769,132.01612903225805,-12.209677419354648
2014-05-17,29.20967741935482,73.0,782.5645161290323,1027.016129032258,1911.7903225806454
2014-05-18,5.2096774193548185,63.0,-73.43548387096769,100.01612903225805,94.79032258064535
2014-05-19,-66.79032258064518,-4.0,-259.4354838709677,-70.98387096774195,-401.20967741935465
2014-05-20,-17.79032258064518,37.0,5.564516129032313,207.01612903225805,231.79032258064535
2014-05-21,-62.79032258064518,-10.0,-128.4354838709677,52.01612903225805,-149.20967741935465
2014-05-22,-40.79032258064518,28.0,-74.43548387096769,149.01612903225805,61.79032258064535
2014-05-23,-144.79032258064518,-71.0,-596.4354838709677,-404.98387096774195,-1217.2096774193546
2014-05-24,-2.7903225806451815,51.0,89.56451612903231,355.01612903225805,492.79032258064535
2014-05-25,-84.79032258064518,-28.0,-439.4354838709677,-258.98387096774195,-811.2096774193546
2014-05-26,38.20967741935482,83.0,-41.43548387096769,153.01612903225805,232.79032258064535
2014-05-27,-57.79032258064518,-9.0,-146.4354838709677,78.01612903225805,-135.20967741935465
2014-05-28,-41.79032258064518,1.0,-444.4354838709677,-252.98387096774195,-738.2096774193546
2014-05-29,-73.79032258064518,-15.0,-407.4354838709677,-198.98387096774195,-695.2096774193546
2014-05-30,-31.79032258064518,39.0,-42.43548387096769,155.01612903225805,119.79032258064535
2014-05-31,102.20967741935482,133.0,537.5645161290323,753.016129032258,1525.7903225806454
2014-06-01,44.883333333333326,66.58333333333334,459.4666666666667,406.6166666666667,977.5500000000002
2014-06-02,29.883333333333326,46.58333333333334,-61.5333333333333,-48.383333333333326,-33.44999999999982
2014-06-03,-81.11666666666667,-42.41666666666666,-180.5333333333333,-207.38333333333333,-511.4499999999998
2014-06-04,-22.116666666666674,35.58333333333334,-131.5333333333333,-161.38333333333333,-279.4499999999998
2014-06-05,-25.116666666666674,-42.41666666666666,-82.5333333333333,-103.38333333333333,-253.44999999999982
2014-06-06,-46.116666666666674,-29.416666666666657,-43.5333333333333,-105.38333333333333,-224.44999999999982
2014-06-07,503.8833333333333,518.5833333333334,496.4666666666667,563.6166666666667,2082.55
2014-06-08,48.883333333333326,55.58333333333334,874.4666666666667,926.6166666666667,1905.5500000000002
2014-06-09,-22.116666666666674,12.583333333333343,-306.5333333333333,-301.3833333333333,-617.4499999999998
2014-06-10,-85.11666666666667,-48.41666666666666,-234.5333333333333,-231.38333333333333,-599.4499999999998
2014-06-11,-25.116666666666674,-0.4166666666666572,5.466666666666697,-1.3833333333333258,-21.449999999999818
2014-06-12,-89.11666666666667,-63.41666666666666,-430.5333333333333,-432.3833333333333,-1015.4499999999998
2014-06-13,-170.11666666666667,-123.41666666666666,-654.5333333333333,-690.3833333333333,-1638.4499999999998
2014-06-14,-27.116666666666674,7.583333333333343,-110.5333333333333,-102.38333333333333,-232.44999999999982
2014-06-15,-78.11666666666667,-50.41666666666666,-321.5333333333333,-327.3833333333333,-777.4499999999998
2014-06-16,-88.11666666666667,-48.41666666666666,-492.5333333333333,-493.3833333333333,-1122.4499999999998
2014-06-17,-52.116666666666674,-6.416666666666657,-341.5333333333333,-311.3833333333333,-711.4499999999998
2014-06-18,-48.116666666666674,-14.416666666666657,-146.5333333333333,-142.38333333333333,-351.4499999999998
2014-06-19,-66.11666666666667,-49.41666666666666,-114.5333333333333,-166.38333333333333,-396.4499999999998
2014-06-20,-94.11666666666667,-46.41666666666666,-262.5333333333333,-285.3833333333333,-688.4499999999998
2014-06-21,35.883333333333326,4.583333333333343,747.4666666666667,829.6166666666667,1617.5500000000002
2014-06-22,9.883333333333326,6.583333333333343,439.4666666666667,490.6166666666667,946.5500000000002
2014-06-23,-52.116666666666674,1.5833333333333428,-34.5333333333333,-49.383333333333326,-134.44999999999982
2014-06-24,-51.116666666666674,-15.416666666666657,-165.5333333333333,-163.38333333333333,-395.4499999999998
2014-06-25,-49.116666666666674,-0.4166666666666572,56.4666666666667,19.616666666666674,26.550000000000182
2014-06-26,-40.116666666666674,-61.41666666666666,-273.5333333333333,-260.3833333333333,-635.4499999999998
2014-06-27,-112.11666666666667,-63.41666666666666,-491.5333333333333,-508.3833333333333,-1175.4499999999998
2014-06-28,-57.116666666666674,-12.416666666666657,-83.5333333333333,-20.383333333333326,-173.44999999999982
2014-06-29,9.883333333333326,24.583333333333343,230.4666666666667,254.61666666666667,519.5500000000002
2014-06-30,-31.116666666666674,-19.416666666666657,67.4666666666667,25.616666666666674,42.55000000000018
2014-07-01,-40.73333333333332,-26.0,-29.06666666666672,13.844444444444434,-81.95555555555575
2014-07-02,-10.73333333333332,-31.0,-33.06666666666672,-21.155555555555566,-95.95555555555575
2014-07-03,-24.73333333333332,-28.0,-169.06666666666672,-181.15555555555557,-402.95555555555575
2014-07-04,-1.73333333333332,14.0,299.9333333333333,233.84444444444443,546.0444444444443
2014-07-05,-40.73333333333332,-61.0,90.93333333333328,88.84444444444443,78.04444444444425
2014-07-06,100.26666666666668,76.0,699.9333333333333,748.8444444444444,1625.0444444444443
2014-07-07,29.26666666666668,41.0,-6.06666666666672,-59.155555555555566,5.044444444444252
2014-07-08,-10.73333333333332,2.0,91.93333333333328,98.84444444444443,182.04444444444425
2014-07-09,5.26666666666668,-17.0,82.93333333333328,65.84444444444443,137.04444444444425
2014-07-10,4.26666666666668,8.0,4.93333333333328,-4.155555555555566,13.044444444444252
2014-07-11,7.26666666666668,-15.0,-71.06666666666672,-108.15555555555557,-186.95555555555575
2014-07-12,41.26666666666668,10.0,206.93333333333328,269.84444444444443,528.0444444444443
2014-07-13,23.26666666666668,27.0,127.93333333333328,109.84444444444443,288.04444444444425
2014-07-14,24.26666666666668,19.0,-102.06666666666672,-97.15555555555557,-155.95555555555575
2014-07-15,1.26666666666668,0.0,-36.06666666666672,6.844444444444434,-27.955555555555748
2014-07-16,-7.73333333333332,7.0,-26.06666666666672,4.844444444444434,-21.955555555555748
2014-07-17,25.26666666666668,-5.0,-124.06666666666672,-142.15555555555557,-245.95555555555575
2014-07-18,-44.73333333333332,-15.0,-96.06666666666672,-140.15555555555557,-295.95555555555575
2014-07-19,5.26666666666668,26.0,22.93333333333328,40.844444444444434,95.04444444444425
2014-07-20,-8.73333333333332,5.0,-221.06666666666672,-298.15555555555557,-522.9555555555557
2014-07-21,21.26666666666668,21.0,-30.06666666666672,-63.155555555555566,-50.95555555555575
2014-07-22,-1.73333333333332,-11.0,-198.06666666666672,-215.15555555555557,-425.95555555555575
